results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  4.37944e-10
5.002083333e+00  4.55642e-10
5.004167535e+00  5.08402e-10
5.006252605e+00  5.17001e-10
5.008338543e+00  4.97348e-10
5.010425351e+00  4.85748e-10
5.012513028e+00  4.70579e-10
5.014601575e+00  4.92929e-10
5.016690992e+00  4.79966e-10
5.018781280e+00  4.54403e-10
5.020872439e+00  4.29197e-10
5.022964469e+00  5.10034e-10
5.025057371e+00  4.65970e-10
5.027151145e+00  4.78802e-10
5.029245792e+00  4.61134e-10
5.031341311e+00  5.03845e-10
5.033437703e+00  4.78782e-10
5.035534969e+00  5.19864e-10
5.037633108e+00  4.92087e-10
5.039732122e+00  4.73522e-10
5.041832010e+00  4.75212e-10
5.043932774e+00  4.85731e-10
5.046034412e+00  4.59321e-10
5.048136927e+00  4.77835e-10
5.050240317e+00  4.85103e-10
5.052344584e+00  5.09102e-10
5.054449727e+00  4.61309e-10
5.056555748e+00  4.86280e-10
5.058662646e+00  4.38741e-10
5.060770422e+00  4.80670e-10
5.062879077e+00  4.22540e-10
5.064988610e+00  4.76766e-10
5.067099022e+00  4.11669e-10
5.069210313e+00  5.05221e-10
5.071322484e+00  4.14465e-10
5.073435535e+00  5.10677e-10
5.075549466e+00  4.25763e-10
5.077664279e+00  4.59106e-10
5.079779972e+00  3.90735e-10
5.081896547e+00  4.19357e-10
5.084014004e+00  3.75655e-10
5.086132343e+00  4.41983e-10
5.088251565e+00  3.62577e-10
5.090371670e+00  4.69801e-10
5.092492658e+00  3.14910e-10
5.094614530e+00  4.58486e-10
5.096737286e+00  3.27744e-10
5.098860926e+00  4.77492e-10
5.100985452e+00  3.82153e-10
5.103110862e+00  4.43059e-10
5.105237159e+00  3.37196e-10
5.107364341e+00  4.17436e-10
5.109492409e+00  3.13478e-10
5.111621364e+00  4.17277e-10
5.113751207e+00  3.06666e-10
5.115881936e+00  4.43314e-10
5.118013554e+00  3.13676e-10
5.120146060e+00  4.63469e-10
5.122279454e+00  3.03835e-10
5.124413737e+00  4.44060e-10
5.126548909e+00  3.73626e-10
5.128684971e+00  4.14850e-10
5.130821923e+00  3.63381e-10
5.132959766e+00  4.29875e-10
5.135098499e+00  4.14894e-10
5.137238123e+00  4.14731e-10
5.139378639e+00  4.05133e-10
5.141520047e+00  4.25780e-10
5.143662347e+00  3.78119e-10
5.145805540e+00  4.02188e-10
5.147949625e+00  2.61063e-10
5.150094604e+00  4.34677e-10
5.152240477e+00  3.65213e-10
5.154387244e+00  3.73900e-10
5.156534905e+00  3.49117e-10
5.158683462e+00  3.40005e-10
5.160832913e+00  2.88380e-10
5.162983260e+00  2.97862e-10
5.165134503e+00  2.05434e-10
5.167286642e+00  1.57027e-10
5.169439679e+00  4.92519e-11
5.171593612e+00  3.63673e-11
5.173748442e+00  2.12465e-11
5.175904171e+00  1.09838e-10
5.178060798e+00  2.47999e-10
5.180218323e+00  3.32354e-10
5.182376747e+00  2.31383e-10
5.184536071e+00  3.22847e-10
5.186696294e+00  1.86606e-10
5.188857418e+00  3.28072e-10
5.191019442e+00  1.54397e-10
5.193182366e+00  2.96371e-10
5.195346192e+00  1.12351e-10
5.197510920e+00  2.66842e-10
5.199676550e+00  8.70074e-11
5.201843081e+00  2.36747e-10
5.204010516e+00  1.40488e-10
5.206178854e+00  1.86813e-10
5.208348095e+00  1.33580e-10
5.210518240e+00  1.48438e-10
5.212689289e+00  6.45853e-11
5.214861243e+00  9.08789e-11
5.217034102e+00  1.18867e-10
5.219207866e+00  1.92185e-10
5.221382536e+00  1.24681e-10
5.223558112e+00  1.80235e-10
5.225734595e+00  1.35960e-10
5.227911984e+00  1.78448e-10
5.230090281e+00  1.87505e-10
5.232269485e+00  1.02876e-10
5.234449597e+00  2.15572e-10
5.236630618e+00  1.11259e-10
5.238812547e+00  2.45086e-10
5.240995386e+00  1.00411e-10
5.243179134e+00  2.78286e-10
5.245363792e+00  9.70691e-11
5.247549360e+00  3.05468e-10
5.249735839e+00  9.90486e-11
5.251923229e+00  3.07420e-10
5.254111531e+00  9.24489e-11
5.256300744e+00  1.69165e-10
5.258490869e+00  2.42749e-10
5.260681907e+00  2.13285e-10
5.262873858e+00  2.94069e-10
5.265066722e+00  2.03867e-10
5.267260500e+00  2.86184e-10
5.269455191e+00  1.64660e-10
5.271650798e+00  1.77068e-10
5.273847319e+00  2.10576e-10
5.276044755e+00  3.05391e-10
5.278243107e+00  2.24584e-10
5.280442375e+00  3.44243e-10
5.282642560e+00  2.91106e-10
5.284843661e+00  2.70896e-10
5.287045679e+00  3.31316e-10
5.289248615e+00  2.92869e-10
5.291452468e+00  2.68824e-10
5.293657240e+00  2.55562e-10
5.295862930e+00  3.32284e-10
5.298069540e+00  2.54701e-10
5.300277069e+00  3.56602e-10
5.302485518e+00  3.09063e-10
5.304694887e+00  3.37893e-10
5.306905176e+00  2.75397e-10
5.309116387e+00  3.37460e-10
5.311328519e+00  3.04476e-10
5.313541572e+00  3.38230e-10
5.315755548e+00  2.63398e-10
